"HolderAddress","Quantity","PendingBalanceUpdate"
"0x00064401309e92e89d14968bf7b5c133631680ee","1","No"
"0x002a635af4906df6b57329849793ea7ac8206451","1","No"
"0x003a559a0a53e8bb8397a23752f5487c9de7d53f","1","No"
"0x008370f0e908f301c63d054e5d925276b6616e2b","1","No"
"0x00e2e71b6a02394d0c4fb9e12c511fa9ed6ef8e9","1","No"
"0x00efdd6db0735bd588210c03fbc774617dac115e","1","No"
"0x0133ef2e71a01aa1e734003e9d3c3417db105322","1","No"
"0x017555d1bb36aec5cd386e3a7b4976ad97b9e7ea","1","No"
"0x019ad0cc8a70a962a5d12e239462f733858a0a07","1","No"
"0x01c9715139e40d4b9b05948d1683b705f28588cb","1","No"
"0x0203c55ba112d7dba8d003c04a6ad3546f68e0af","1","No"
"0x020e1a05b61b0cd32e5b02f684b383cc0fd9310d","1","No"
"0x0241dfb8165dac08d3f78cb931cf46d110f16733","1","No"
"0x024aef1375c1701693b2a0c8e8ad7badf0dce493","1","No"
"0x024c90b8a49d82ab584015026ecaf59d3071752f","1","No"
"0x0274f5975e6caefb4a12e0aeb0797f2bbbff0a8e","1","No"
"0x027cc12c40c3cb9c50ef5ab420429d81fea03a7f","1","No"
"0x029466c1cdb2e91fdb8b69d9d52788de1c5bb176","1","No"
"0x02a0c8eb51ebcbec763b0d322217cf5f33b16149","1","No"
"0x02b1dcf1084f72763df05b012502d1eb7ff39c63","1","No"
"0x02c1d6b858f0f007f90e7f0d7637ddb44bdbe676","1","No"
"0x02df0691f9c770e192a9548d030481d02d88425d","1","No"
"0x02f491ff7f6c80b86931aa97ada7d672f790c300","1","No"
"0x0314285ab35967fd5d46ca83eb0ba4a1e0effa78","1","No"
"0x033bf45b71dc1430a8fe2324d1b2fc826c0111ef","1","No"
"0x03bc556f7e768876123b392e283c7980c72d1248","1","No"
"0x041e0882c5691ab4404485c960e2c52125ec116c","1","No"
"0x0422c8b92f256eec0d05618669e9e3b5ee6523f0","1","No"
"0x042f2f42bc46626f07d400e7aeecae0645e4a220","1","No"
"0x0480c1d2786cb2f37dea15613d343a113103d7af","1","No"
"0x04b35947dfb09226e866d5f40694ab9e0a350c57","1","No"
